ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone
3454,Eppley Airfield,Omaha,United States,OMA,KOMA,41.3032,-95.894096,984,-6.0
6383,Lianyungang Airport,Lianyungang,China,LYG,ZSLG,34.571667,118.873611,0,8.0
3459,Dane County Regional Truax Field,Madison,United States,MSN,KMSN,43.13990020751953,-89.3375015258789,887,-6.0
7490,Al Najaf International Airport,Najaf,Iraq,NJF,ORNI,31.989853,44.404317,103,3.0
3618,Menominee Regional Airport,Macon,United States,MNM,KMNM,45.126701,-87.638397,625,-6.0
8469,Hiroshimanishi Airport,Hiroshima,Japan,HIW,RJBH,34.36690139770508,132.41400146484375,15,9.0
9821,Suntar Airport,Suntar,Russia,SUY,UENS,62.185001373291,117.63500213623,452,9.0
4372,Pskov Airport,Pskov,Russia,PKV,ULOO,57.78390121459961,28.39559936523437,154,3.0
7840,Southern Wisconsin Regional Airport,Janesville,United States,JVL,KJVL,42.620300293,-89.0416030884,808,-6.0
2449,El Palomar Airport,El Palomar,Argentina,EPA,SADP,-34.6099,-58.6126,59,-3.0
7068,Mc Cook Ben Nelson Regional Airport,McCook,United States,MCK,KMCK,40.20629883,-100.5920029,2583,-6.0
3179,Phuket International Airport,Phuket,Thailand,HKT,VTSP,8.1132,98.316902,82,7.0
3353,Christmas Island Airport,Christmas Island,Christmas Island,XCH,YPXM,-10.450599670410156,105.69000244140624,916,7.0
3742,Selfridge Air National Guard Base Airport,Mount Clemens,United States,MTC,KMTC,42.613463,-82.836919,580,-5.0
2132,Qazvin Airport,Ghazvin,Iran,GZW,OIIK,36.240101,50.0471,4184,3.5
4007,Asheville Regional Airport,Asheville,United States,AVL,KAVL,35.43619918823242,-82.54180145263672,2165,-5.0
8762,Rio Amazonas Airport,Pastaza,Ecuador,PTZ,SESM,-1.5052399635299998,-78.0626983643,3465,-5.0
8713,Hola Airport,Hola,Kenya,HOA,HKHO,-1.5219999551773071,40.00400161743164,195,3.0
335,Cottbus-Drewitz Airport,Cottbus,Germany,CBU,EDCD,51.889442,14.531944,272,1.0
4202,Laoag International Airport,Laoag,Philippines,LAO,RPLI,18.1781005859375,120.53199768066406,25,8.0
1633,João Paulo II Airport,Ponta Delgada,Portugal,PDL,LPPD,37.7411994934,-25.6979007721,259,-1.0
1130,Hurghada International Airport,Hurghada,Egypt,HRG,HEGN,27.178300857543945,33.799400329589844,52,2.0
